id,trim,subTrim,condition,isOneOwner,mileage,year,color,displacement,fuel,state,region,soundSystem,wheelType,wheelSize,featureCount,price,miles1K
9498,550,unsp,Used,t,18613,2011,Silver,5.5 L,Gasoline,FL,SoA,Premium,Alloy,19,72,44999,18.613
9983,550,unsp,CPO,f,37326,2011,Silver,5.5 L,Gasoline,FL,SoA,unsp,unsp,unsp,74,49900,37.326
9984,550,unsp,Used,f,33713,2011,White,5.5 L,Gasoline,TX,WSC,Harman Kardon,unsp,unsp,22,55991,33.713
9988,550,unsp,CPO,t,16607,2011,Black,5.5 L,Gasoline,TX,WSC,Harman Kardon,Alloy,18,26,61950,16.607
9989,550,unsp,Used,t,18115,2011,Gray,5.5 L,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,54,51995,18.115
9993,550,unsp,CPO,t,42960,2011,Silver,5.5 L,Gasoline,CA,Pac,unsp,unsp,unsp,2,46981,42.96
9998,550,unsp,CPO,t,34268,2011,Black,5.5 L,Gasoline,FL,SoA,unsp,Alloy,unsp,58,49995,34.268
9999,550,unsp,Used,t,50211,2011,Silver,5.5 L,Gasoline,GA,SoA,Premium,Alloy,unsp,69,39880,50.211
10000,550,unsp,CPO,t,19692,2011,White,5.5 L,Gasoline,CA,Pac,Harman Kardon,Alloy,unsp,59,62910,19.692
10002,550,unsp,CPO,f,24237,2011,Black,5.5 L,Gasoline,CA,Pac,Harman Kardon,Alloy,unsp,69,56981,24.237
10003,550,unsp,Used,t,22521,2011,Black,5.5 L,Gasoline,GA,SoA,Harman Kardon,Alloy,unsp,57,41995,22.521
10006,550,unsp,CPO,f,24355,2011,Black,5.5 L,Gasoline,CA,Pac,Premium,Alloy,unsp,80,43998,24.355
