"Subject","Session","Trial","FarAway","Littered","PictureTarget.RT","Side"
26,4,11,0,1,567,"left"
26,4,12,0,1,517,"right"
26,4,13,0,1,668,"left"
26,4,14,0,1,478,"left"
26,4,15,0,1,589,"right"
26,4,16,0,1,543,"right"
26,4,17,0,1,644,"left"
26,4,18,0,1,480,"left"
26,4,19,0,1,640,"right"
26,4,20,0,1,562,"right"
6,1,11,0,1,1408,"left"
6,1,12,0,1,858,"right"
6,1,13,0,1,1099,"left"
6,1,14,0,1,776,"right"
6,1,15,0,1,587,"left"
6,1,16,0,1,603,"right"
6,1,17,0,1,755,"left"
6,1,18,0,1,868,"right"
6,1,19,0,1,1017,"left"
6,1,20,0,1,939,"right"
6,2,11,0,1,522,"right"
6,2,12,0,1,486,"right"
6,2,13,0,1,538,"right"
6,2,14,0,1,529,"left"
6,2,15,0,1,670,"left"
6,2,16,0,1,565,"left"
6,2,17,0,1,514,"right"
6,2,18,0,1,757,"left"
6,2,19,0,1,469,"left"
6,2,20,0,1,808,"right"
6,3,11,0,1,717,"left"
