Year,Month,Day,Temp
2009,8,13,75.5
2009,8,14,71.7
2009,8,15,65.3
2009,8,16,58
2009,8,17,61.2
2009,8,18,62.7
2009,8,19,64.6
2009,8,20,60.4
2009,8,21,60.8
2009,8,22,66.1
2009,8,23,77.1
2009,8,24,78.4
2009,8,25,68.2
2009,8,26,68.3
2009,8,27,70.9
2009,8,28,69.1
2009,8,29,60.6
2009,8,30,62.3
2009,8,31,65.5
2009,9,1,67.7
2009,9,2,69.9
2009,9,3,63.7
2009,9,4,64.3
2009,9,5,70.3
2009,9,6,70.8
2009,9,7,72.2
2009,9,8,65.1
2009,9,9,59
2009,9,10,68.9
2009,9,11,67.2
2009,9,12,54.1
2009,9,13,57.1
2009,9,14,70.1
2009,9,15,70.8
2009,9,16,68.4
2009,9,17,65.3
2009,9,18,66.6
2009,9,19,67.9
2009,9,20,64.4
2009,9,21,53.2
2009,9,22,53.2
2009,9,23,54.8
2009,9,24,55.8
2009,9,25,54.1
2009,9,26,60
2009,9,27,58.6
2009,9,28,48.5
2009,9,29,51.7
2009,9,30,61.8
2009,10,1,45.5
2009,10,2,46.7
2009,10,3,37.8
2009,10,4,40
2009,10,5,38.7
2009,10,6,39.3
2009,10,7,41.3
2009,10,8,34.6
2009,10,9,29.2
2009,10,10,19.7
2009,10,11,21.9
2009,10,12,25.3
2009,10,13,30.9
2009,10,14,38.1
2009,10,15,39.1
2009,10,16,43.7
2009,10,17,41.8
2009,10,18,57.7
2009,10,19,48.8
2009,10,20,40.1
2009,10,21,37.5
2009,10,22,38.1
2009,10,23,42.4
2009,10,24,46.5
2009,10,25,41.2
2009,10,26,37.5
2009,10,27,45.1
2009,10,28,37
2009,10,29,31.3
2009,10,30,32
2009,10,31,49.6
2009,11,1,49.8
2009,11,2,43.8
2009,11,3,42.4
2009,11,4,38.8
2009,11,5,43.9
2009,11,6,55.2
2009,11,7,48
2009,11,8,45.1
2009,11,9,39.4
2009,11,10,41.1
2009,11,11,43.7
2009,11,12,48.7
2009,11,13,36.4
2009,11,14,30.7
2009,11,15,32
2009,11,16,28.5
2009,11,17,39.4
2009,11,18,45.3
2009,11,19,43.3
2009,11,20,34.8
2009,11,21,44.5
2009,11,22,40.9
2009,11,23,35.3
2009,11,24,33.4
2009,11,25,35.2
2009,11,26,36.4
2009,11,27,47.2
2009,11,28,38.5
2009,11,29,31.5
2009,11,30,37.8
2009,12,1,35.6
2009,12,2,23.4
2009,12,3,14.8
2009,12,4,12.5
2009,12,5,23.1
2009,12,6,11.4
2009,12,7,5.6
2009,12,8,5.8
2009,12,9,-2.6
2009,12,10,6
2009,12,11,10
2009,12,12,19.6
2009,12,13,5.3
2009,12,14,-1.5
2009,12,15,-1.2
2009,12,16,21.6
2009,12,17,33.2
2009,12,18,34.7
2009,12,19,25.9
2009,12,20,33.6
2009,12,21,28.8
2009,12,22,24.2
2009,12,23,20.8
2009,12,24,6.2
2009,12,25,5.7
2009,12,26,15.8
2009,12,27,23.8
2009,12,28,17.3
2009,12,29,13.3
2009,12,30,21.9
2009,12,31,14
2010,1,1,5.4
2010,1,2,6.1
2010,1,3,14.7
2010,1,4,15.9
2010,1,5,16.6
2010,1,6,9.5
2010,1,7,-3.1
2010,1,8,-9.7
2010,1,9,3.2
2010,1,10,33.4
2010,1,11,31.6
2010,1,12,30.4
2010,1,13,39.4
2010,1,14,35.9
2010,1,15,35.3
2010,1,16,36.4
2010,1,17,34
2010,1,18,28
2010,1,19,30.8
2010,1,20,31.6
2010,1,21,26.7
2010,1,22,32.5
2010,1,23,30.4
2010,1,24,23.2
2010,1,25,20.7
2010,1,26,15.2
2010,1,27,17.8
2010,1,28,11.9
2010,1,29,19.5
2010,1,30,20.1
2010,1,31,17.4
2010,2,1,13.7
2010,2,2,16.2
2010,2,3,25.5
2010,2,4,22.4
2010,2,5,18.1
2010,2,6,22
2010,2,7,25.4
2010,2,8,7.4
2010,2,9,2.7
2010,2,10,9.1
2010,2,11,23.6
2010,2,12,23
2010,2,13,29
2010,2,14,12.8
2010,2,15,13.6
2010,2,16,13.6
2010,2,17,25.9
2010,2,18,27.3
2010,2,19,24.3
2010,2,20,24.1
2010,2,21,17.5
2010,2,22,18.1
2010,2,23,19.5
2010,2,24,18.9
2010,2,25,32.8
2010,2,26,34.7
2010,2,27,31.6
2010,2,28,27.4
2010,3,1,27.9
2010,3,2,34.4
2010,3,3,30.8
2010,3,4,34.4
2010,3,5,30
2010,3,6,30.4
2010,3,7,34.3
2010,3,8,36.5
2010,3,9,37.4
2010,3,10,28.2
2010,3,11,31.1
2010,3,12,36.3
2010,3,13,34.6
2010,3,14,33.9
2010,3,15,37.6
2010,3,16,36.4
2010,3,17,43.3
2010,3,18,44.5
2010,3,19,30.6
2010,3,20,27.6
2010,3,21,38.5
2010,3,22,49.4
2010,3,23,35.2
2010,3,24,34.3
2010,3,25,39.8
2010,3,26,44.8
2010,3,27,41.6
2010,3,28,45.3
2010,3,29,54.8
2010,3,30,60
2010,3,31,51.4
2010,4,1,45.6
2010,4,2,36.1
2010,4,3,36.7
2010,4,4,36.8
2010,4,5,39.2
2010,4,6,39
2010,4,7,40.5
2010,4,8,41.6
2010,4,9,44.7
2010,4,10,40.4
2010,4,11,50.2
2010,4,12,55.8
2010,4,13,59.1
2010,4,14,52.2
2010,4,15,50.2
2010,4,16,42.3
2010,4,17,43.5
2010,4,18,51.8
2010,4,19,52.3
2010,4,20,51.9
2010,4,21,49.1
2010,4,22,51.1
2010,4,23,51.7
2010,4,24,46.3
2010,4,25,41.8
2010,4,26,38.9
2010,4,27,33.3
2010,4,28,57.2
2010,4,29,50.5
2010,4,30,43.5
2010,5,1,45.3
2010,5,2,43.1
2010,5,3,45.5
2010,5,4,50.1
2010,5,5,46
2010,5,6,39.2
2010,5,7,38.4
2010,5,8,37.2
2010,5,9,47.4
2010,5,10,47.7
2010,5,11,40.5
2010,5,12,36.9
2010,5,13,35.5
2010,5,14,49.1
2010,5,15,51.9
2010,5,16,52.9
2010,5,17,55.2
2010,5,18,59.3
2010,5,19,57.4
2010,5,20,54.1
2010,5,21,56.6
2010,5,22,59
2010,5,23,57
2010,5,24,56.6
2010,5,25,54.2
2010,5,26,57.4
2010,5,27,62.6
2010,5,28,74.1
2010,5,29,66.4
2010,5,30,55.5
2010,5,31,59.3
2010,6,1,59.6
2010,6,2,57.6
2010,6,3,59.9
2010,6,4,59.7
2010,6,5,64.5
2010,6,6,59
2010,6,7,58
2010,6,8,62.3
2010,6,9,58.7
2010,6,10,65
2010,6,11,60.5
2010,6,12,54
2010,6,13,51.9
2010,6,14,52.3
2010,6,15,55.5
2010,6,16,65.1
2010,6,17,66.2
2010,6,18,60.8
2010,6,19,61.3
2010,6,20,68.2
2010,6,21,64.9
2010,6,22,67.2
2010,6,23,63.8
2010,6,24,61.9
2010,6,25,73.8
2010,6,26,70.3
2010,6,27,68.2
2010,6,28,68.8
2010,6,29,70.2
2010,6,30,76.8
2010,7,1,75.4
2010,7,2,78
2010,7,3,72.6
2010,7,4,62.9
2010,7,5,62.6
2010,7,6,59.7
2010,7,7,59.6
2010,7,8,64.7
2010,7,9,69
2010,7,10,71.2
2010,7,11,65.8
2010,7,12,64.1
2010,7,13,73.7
2010,7,14,72.7
2010,7,15,68.1
2010,7,16,76
2010,7,17,78.5
2010,7,18,71.8
2010,7,19,70.8
2010,7,20,66.7
2010,7,21,68.8
2010,7,22,67.8
2010,7,23,68.4
2010,7,24,66.2
2010,7,25,71.7
2010,7,26,79
2010,7,27,79.3
2010,7,28,68
2010,7,29,68.2
2010,7,30,75.3
2010,7,31,78.3
2010,8,1,78.1
2010,8,2,76
